gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Alexander,Johansen,5952,Højagervej,Oure,Nordjylland,Denmark,28522,-32.1906,-48.2829,-8:00,Pacific Time (US & Canada),alexander.johansen@example.com,04295993-146a-43db-8d34-2fc738e5ad82,bluefrog246,steven1,gqxOm1QG,21483e5f6f5179d5b600f13236666611,d5419c4aeadae69dcc7fb6b97912273ae941c27e,55725e0e77e48999df03de5696f7bb02790c65d8f247306d4cdc91e49f24fc24,1997-05-31T14:47:18.752Z,24,2015-08-10T15:02:02.760Z,6,25936851,61484531,CPR,310597-9129,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,DK
female,Miss,Silke,Johansen,5989,Teglgårdsvej,Kongsvinger,Danmark,Denmark,90157,30.2158,-131.2355,-11:00,"Midway Island, Samoa",silke.johansen@example.com,7d7852f2-3f5b-4e45-89d6-2ecd775a14e1,biggoose797,toejam,V2BCuOgs,5c492ed2edca46f188502fbf8bc9c85e,d031ebeafc9f0eacd5f8bec3979216f3ea5c339d,819e846e7a8cbaf70682723140b1fbcceb1ff2c67136814f29e52e55e18b35b4,1996-04-28T21:33:52.318Z,25,2013-12-10T23:42:12.254Z,8,91416169,15804274,CPR,280496-0634,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,DK
female,Mrs,Olivia,Black,2535,E Sandy Lake Rd,Baton Rouge,Arkansas,United States,29546,-25.5045,98.8231,+11:00,"Magadan, Solomon Islands, New Caledonia",olivia.black@example.com,faaf2729-2af2-48d0-b4c6-0a57f9b16f43,yellowgoose844,panama,faItPtkt,8525bd49f6c416ac311ecd4bfd183f83,0a0fcbe5a3871b43e5eb70c69d362e63dd4502a2,27c98f51dced9326cfe76a156c49bdb67c6475f55e5ffc049dd6b23ee066c03c,1955-07-29T19:46:03.096Z,66,2014-11-18T13:29:54.457Z,7,(421)-781-9993,(230)-032-4357,SSN,897-08-6170,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
male,Mr,Tomas,Ruf,8462,Poststraße,Büdingen,Brandenburg,Germany,32441,-76.8522,-152.0636,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",tomas.ruf@example.com,31085a52-4af5-4d3b-8732-cd2ffe545015,biggorilla503,masturbation,E57qqIhB,bf048038380671bab32cf5ac41bf2727,908ee762877875a140ba7b73422839f7b7b9930c,e289fae6fcd2b7f34000b831e9556f42955430144a539589ded313f048b1b752,1952-10-22T04:30:58.659Z,69,2016-07-13T09:56:06.145Z,5,0711-3372329,0175-4245705,,null,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,DE
female,Mrs,Ilse,Brink,2497,Bunche-Erf,Waaksens gem Litt,Zeeland,Netherlands,21017,-50.2883,-18.2483,-8:00,Pacific Time (US & Canada),ilse.brink@example.com,68cdec1e-a2b1-442e-badc-2337ef448179,biggorilla844,joemama,aDuLLGfW,c9c5e0017a9a6b0edc1805d32f5f5cb3,419da40b88bd9676bdc450543b059ad72aa422ae,72604c8f52dc87be0f825827f4af37a4c377090646baff0cd238f2aa489fc4ea,1969-07-28T05:18:51.273Z,52,2011-06-13T08:10:19.072Z,10,(336)-268-9580,(543)-827-2684,BSN,87157269,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,NL
female,Miss,Iina,Wirtanen,8756,Myllypuronkatu,Ypäjä,Kainuu,Finland,50113,-73.9297,-32.7240,-8:00,Pacific Time (US & Canada),iina.wirtanen@example.com,72dbb224-5c36-44e8-a368-c09cd616233e,bigrabbit306,fang,XGTfkn9D,ee83b36b8cc24e0bed21d48abe4f3491,75cedd25c756b75e99aca39178f44457d99de3dd,dc9fff2695d737077e8bbb1155ca7737853d3a241f4bb46b4fa72f4891e83ac4,1946-10-27T15:03:19.532Z,75,2014-04-30T21:34:43.938Z,7,09-080-187,049-442-44-10,HETU,NaNNA952undefined,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,FI
female,Ms,Becky,Williams,3480,Dublin Road,Leixlip,Kilkenny,Ireland,55723,70.7404,-135.9314,+1:00,"Brussels, Copenhagen, Madrid, Paris",becky.williams@example.com,0759981c-716d-4788-86a4-bef9d1865c4b,organicfish328,small,tmrYOsH9,0c04551b12921905c192964828b6b2a0,16d30951454719a82fa67cec5acd2fdd5eeff1a9,cf5226b867b56e823cdd39cbe2f484ed63f157a71b7cb8e5cbc72c21713aac05,1996-01-10T08:00:34.167Z,25,2009-12-28T23:35:17.777Z,12,041-614-9503,081-905-8574,PPS,2231240T,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,IE
male,Mr,Benjamin,Turner,4241,Kennedy Road,Blenheim,Gisborne,New Zealand,86729,-43.4836,55.7270,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",benjamin.turner@example.com,d7dc29c3-af6c-45f4-ae7f-27c8b123f751,yellowkoala634,volkswag,8WBTyby4,e70435bb63d1adff478be38cbd0a114f,9b9fa12e56c651292916396a85b8459b846d6204,9ba0f9cd17ae16e60b8834e181678fcf7f8bc9b9366507ff3f26d0373ebe11c8,1950-06-20T23:44:19.522Z,71,2011-07-16T11:27:18.938Z,10,(171)-155-2986,(114)-503-7303,,null,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,NZ
male,Mr,Elias,Sørgård,718,Vestbyveien,Sveio,Telemark,Norway,4420,50.8856,-97.4776,-3:30,Newfoundland,elias.sorgard@example.com,0b9e0d02-ece6-4747-b20f-85aa2fd75286,tinymeercat891,callaway,AXFS1iTr,881418cf580af3dbfb49d4042fd5cde3,01c0ab2dbeebe3360b7c4ed621c59332c1000c98,288d9aa45824a5dca45315b84124cc2b3cd70ddbe4f288c167dfc93e3ff59adf,1974-04-06T16:25:47.971Z,47,2013-01-25T19:19:04.479Z,8,61531913,93576898,FN,06047412968,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,NO
male,Mr,Brandon,Black,7142,Richmond Park,Sligo,South Dublin,Ireland,91694,1.4465,-66.7562,-10:00,Hawaii,brandon.black@example.com,34da48fd-944f-4766-a26f-805e08d8b744,browngoose261,morning,SoWaHjk3,b4f8e73c3d635113503fb3cdd22195b1,da2c83517af7e04683aad1072f0ae5c61f846e95,6a4e31366a3549856a0c410866e1b707560ffd59b796a913924aa115b28cde4e,1971-11-26T01:02:12.855Z,50,2004-03-08T12:39:51.882Z,17,061-368-6094,081-371-5710,PPS,4459633T,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,IE
